"angle1","angle2","NAP","grainsize","humus","temperature","salinity","penetrability","week","density"
32,96,0.045,222.5,0.05,17.5,29.4,253.9,1,0.761906390200748
62,96,-1.036,200,0.3,17.5,29.4,226.9,1,0.720972236287058
65,96,-1.336,194.5,0.1,17.5,29.4,237.1,1,0.846735236743312
55,96,0.616,221,0.15,17.5,29.4,248.6,1,0.530839261527601
23,96,-0.684,202,0.05,17.5,29.4,251.9,1,0.744139390692219
129,89,1.19,192.5,0.1,20.8,29.6,250.1,1,0.125131638883103
126,89,0.82,205.5,0.1,20.8,29.6,257.1,1,0.401920060043369
52,89,0.635,211.5,0.1,20.8,29.6,247.9,1,0.29160666732367
26,89,0.061,205.5,0.15,20.8,29.6,248.9,1,1.01888184740715
143,89,-1.334,197,0,20.8,29.6,257.9,1,0.996640956926915
41,42,-0.976,330.5,0.05,15.8,27.9,268.4,2,0.590844337621623
26,42,1.494,272.5,0,15.8,27.9,274.4,2,0
30,42,-0.201,296.5,0.1,15.8,27.9,272.9,2,0.195915088161936
38,42,-0.482,304,0.05,15.8,27.9,261.4,2,0.257959282888135
22,42,0.167,323.5,0.1,15.8,27.9,258.1,2,0.409691001300806
10,31,1.768,293.5,0.05,18.775,28.1,258.4,2,0
13,31,-0.03,361,0,18.775,28.1,253.4,2,0.335716858775699
49,31,0.46,330.5,0.05,18.775,28.1,268.6,2,0.0858033698146211
58,31,1.367,289.5,0,18.775,28.1,270.3,2,0
13,31,-0.811,297,0,18.775,28.1,260.3,2,0.374676541412811
20,21,1.117,251.5,0,19.8,29.9,252.1,4,0.376777922831669
22,21,-0.503,265,0,19.8,29.9,256.1,4,1.23972435378997
22,21,0.729,275.5,0.1,19.8,29.9,244.1,4,0.626654770672766
31,21,1.627,256.5,0,19.8,29.9,239.1,4,0
18,21,0.054,254.5,0.1,19.8,29.9,231.1,4,0.352524661717343
56,36,-0.578,351,0,17.4,27.1,221.8,3,0.390575157632839
45,36,-0.348,405.5,0.05,17.4,27.1,206.8,3,0.383591864451947
6,36,2.222,347.5,0,17.4,27.1,189.3,3,0
48,36,-0.893,336,0.05,17.4,27.1,179.3,3,0.58227814977452
16,36,0.766,354.5,0,17.4,27.1,172.3,3,0.578558006070426
49,77,0.883,266,0.05,18.4,27.4,165.8,2,0.178111253971134
86,77,1.786,256.5,0.0125,18.4,27.4,151.8,2,0
312,77,1.375,234,0,18.4,27.4,193.3,2,0
26,77,-0.06,242,0,18.4,27.4,226.8,2,0.120829093284051
30,77,0.367,284,0,18.4,27.4,262.3,2,0.0848849498242823
28,32,1.671,294.5,0,20,26.4,296.3,3,0.439247291135819
50,32,-0.375,316.5,0.1,20,26.4,342.3,3,0.560655666301601
55,32,-1.005,355,0,20,26.4,382.8,3,0.73993117329964
22,32,0.17,362,0,20,26.4,415.8,3,0.205251949698905
13,32,2.052,311.5,0,20,26.4,449.8,3,0
55,96,-0.356,244.5,0.05,20.5,27.1,489,3,0.657375707585256
63,96,0.094,247.5,0.2,20.5,27.1,531,3,0.751996273028403
138,96,-0.002,223,0,20.5,27.1,568.5,3,0.457678508133062
22,96,2.255,186,0.05,20.5,27.1,606.5,3,0
18,96,0.865,189.5,0,20.5,27.1,624,3,0.254475988785994
