Y	X1	X2	X3	X4	X5	X6	X7	X8
497	379.604	14.984	8.107	0.099	0	22.406	35.008	114.871
329	196.433	5.302	3.456	0.133	0	11.232	15.875	61.681
146	105.975	3.837	1.686	0.666	0.86	3.838	8.509	27.333
249	209.451	10.621	4.913	0.052	0	14.099	21.368	63.052
82	46.641	2.31	1.554	0.322	0.397	3.701	5.601	17.713
98	57.725	1.226	1.615	0.648	0.822	4.408	0.77	21.41
32	14.87	0.237	1.021	0.219	0.622	1.164	0.022	5.687
23	15.601	0.393	0.703	0.05	0.069	1.33	1.592	4.98
36	16.826	0.405	0.441	0.276	0.208	1.012	1.844	5.739
109	80.64	1.512	1.369	1.84	1.252	3.799	8.726	23.455
124	86.852	3.345	2.269	0.732	0.398	5.088	8.405	24.547
97	40.114	2.652	1.644	1.099	0.634	3.73	7.199	21.496
87	43.165	1.544	1.56	0.603	0.661	4.225	6.647	15.769
65	33.714	1.463	1.196	0.434	0.501	2.58	5.468	18.354
46	24.735	0.484	0.659	0.4	0.275	1.359	1.763	6.728
78	48.252	0.995	0.917	0.662	0.771	3.12	7.005	15.839
64	26.543	0.734	1.583	0.585	0.499	1.906	4.181	12.678
62	35.609	2.026	0.943	0.423	0.579	2.419	3.052	12.15
43	23.206	0.697	0.902	0.311	0.507	1.832	1.468	9.305
25	18.481	0.266	0.323	0.183	0.119	0.632	1.678	5.753
37	21.287	0.651	0.818	0.435	0.379	1.508	2.751	7.275
26	12.469	0.766	0.395	0.278	0.406	0.806	0.038	5.547
175	110.42	5.54	5.03	0.011	0	7.923	0	42.429
42	20.472	1.306	0.722	0.255	0.362	1.646	2.765	10.097
126	54.363	3.494	2.233	1.455	2.172	4.777	7.638	32.259
84	37.196	1.392	0.878	0.7	0.891	3.499	5.996	20.131
160	50.162	4.086	1.69	2.133	1.644	4.233	9.987	30.808
60	41.921	3.457	0.851	0.023	0	2.061	5.406	13.163
71	31.187	2.411	0.756	1.278	0.826	2.792	5.404	21.218
89	50.144	2.006	0.995	1.31	1.238	4.554	5.475	21.487
96	50.299	3.856	0.99	1.202	1.351	2.987	0.287	19.488
64	25.574	4.057	1.099	0	3.907	5.74	18.624	25.574
90	48.554	4.412	1.515	0.055	0	2.282	5.543	18.321
93	42.784	1.117	0.5	0.281	0.288	1.567	5.06	20.122
45	23.72	0.741	0.492	0.38	0.307	1.252	2.909	9.628
37	19.295	0.674	0.38	0.383	0.389	2.579	2.378	7.179
18	11.038	0.297	0.16	0.064	0.036	0.985	0.952	3.369
130	5.607	0.071	0.025	3.762	3.559	0.248	2.165	18.882
54	4.035	0.092	0	2.613	2.597	0.194	2.612	9.783
129	5.38	0.094	0.058	5.068	4.226	0.509	3.842	19.208
7	7.88	0.12	0.074	0.021	0	0.138	0	1.624
8	4.729	0.153	0.119	0.027	0	0.195	0	0.831
55	2.874	0.016	0.012	2.24	3.017	0.297	1.175	11.029
86	49.364	4.121	0.792	0.017	0	3.057	6.665	25.349
57	15.977	1.523	0.429	0.887	0.652	0.984	3.149	8.706
61	22.383	1.97	0.546	0.877	0.846	3.522	3.417	13.195
78	42.041	1.979	0.881	0.002	0	1.755	5.374	15.549
95	83.133	4.326	1.363	0.006	0	5.348	7.616	26.262
